"TIME";"DSC_ERROR_LEVEL";"MESSAGE";"DETAILS_ERROR";"DSC_ERROR_TYPE";"GUID_PROCESS_EXECUTION";"GUID_PROCESS_ERROR"
"05/09/2014, 13:17:06:988";"Info";"File 'P_SLP_LIDA_20140201_20140228_00_V2_0000_00000_FILE_NOE_CONSEJEROS-DIRECCIαααN.pdf' with sourcefolder '\\ind021\Webbyfiles\folders\954321\OUTPUT' was succesfully moved to '\\ind021\Webbyfiles\folders\954321\output\accepted\20140905\P_SLP_LIDA_20140201_20140228_00_V2_0000_00000_FILE_NOE_CONSEJEROS-DIRECCIαααN_1.pdf'";"";"Technical";"ADA2D73F31084922979D751312199BD9";"AA1EA6063EFE428D8972A39D00FBE477"
"05/09/2014, 13:17:07:003";"Debug";"File path updated. Old path: \\ind021\Webbyfiles\folders\954321\output\accepted\20140905\P_SLP_LIDA_20140201_20140228_00_V2_0000_00000_FILE_NOE_CONSEJEROS-DIRECCIαααN_1.pdf; New path: \\ind021\Webbyfiles\folders\954321\output\accepted\20140905";"";"Technical";"ADA2D73F31084922979D751312199BD9";"C6BA0F511D164AC6B177A39D00FBE47B"
"05/09/2014, 13:17:07:014";"Debug";"File name updated. Old file name: P_SLP_LIDA_20140201_20140228_00_V2_0000_00000_FILE_NOE_CONSEJEROS-DIRECCIαααN.pdf; New filename: P_SLP_LIDA_20140201_20140228_00_V2_0000_00000_FILE_NOE_CONSEJEROS-DIRECCIαααN_1.pdf";"";"Technical";"ADA2D73F31084922979D751312199BD9";"D3FB8C654FFC4F72B142A39D00FBE480"
"05/09/2014, 13:17:07:033";"Trace";"Set execution parameter: file_name; Value: P_SLP_LIDA_20140201_20140228_00_V2_0000_00000_FILE_NOE_CONSEJEROS-DIRECCIαααN_1.pdf";"";"Technical";"ADA2D73F31084922979D751312199BD9";"D0EE9E804FB24D928F46A39D00FBE485"
"05/09/2014, 13:17:07:058";"Trace";"Set execution parameter: receive_file_path; Value: \\ind021\Webbyfiles\folders\954321\OUTPUT";"";"Technical";"ADA2D73F31084922979D751312199BD9";"AB253970289445E09FBDA39D00FBE48E"
"05/09/2014, 13:17:07:068";"Trace";"Set execution parameter: file_path; Value: \\ind021\Webbyfiles\folders\954321\output\accepted\20140905";"";"Technical";"ADA2D73F31084922979D751312199BD9";"C64E0ABD48D746E9851EA39D00FBE493"
"05/09/2014, 13:17:07:091";"Trace";"Set execution parameter: input_file_info_file_path; Value: \\ind021\Webbyfiles\folders\954321\output\accepted\20140905";"";"Technical";"ADA2D73F31084922979D751312199BD9";"EDAED3DFCDE7429CA43CA39D00FBE498"
"05/09/2014, 13:17:07:126";"Trace";"Set execution parameter: input_file_info_receive_folder; Value: \\ind021\Webbyfiles\folders\954321\OUTPUT";"";"Technical";"ADA2D73F31084922979D751312199BD9";"2E4DA114DAC445D5A09FA39D00FBE4A1"
"05/09/2014, 13:17:07:141";"Info";"End step 3 execution successfully";"";"Technical";"ADA2D73F31084922979D751312199BD9";"8FDA091B4E784A60895EA39D00FBE4A6"
"05/09/2014, 13:17:07:165";"Info";">> Begin execution step: 9A56F5B971414A3D9FDDA39D00FBE281; with order: 4";"";"Technical";"ADA2D73F31084922979D751312199BD9";"E9A2F04F96FA49459397A39D00FBE4AF"
"05/09/2014, 13:17:07:170";"Debug";"Command: 63FEFF278E954104ADA0BCD56DA831D0; Name: Log data in legacy ShuttleFileEvents table";"";"Technical";"ADA2D73F31084922979D751312199BD9";"07655179DDCD4413B79AA39D00FBE4AF"
"05/09/2014, 13:17:07:195";"Debug";"Registering parameters for step 9A56F5B971414A3D9FDDA39D00FBE281";"";"Technical";"ADA2D73F31084922979D751312199BD9";"682EEA1A3B70400FBE6DA39D00FBE4B8"
