"19/09/2014, 11:16:14:338";"Trace";"Set default parameter: file_path; with value: \\ind021\NPRSinV1\{ed3a11f3ff4d49f692365e4007360780}";"";"Technical";"228CF7CAEC9347699C47C090611CF6A7";"6108922B3C2646068197A3AB00DAB17B"
"19/09/2014, 11:16:14:350";"Trace";"Set default parameter: file_name; with value: EP2_010295_20140917_090534_IE008056_000000_0000LFF_00041_FILE_chuck.txt";"";"Technical";"228CF7CAEC9347699C47C090611CF6A7";"23E23F854AF4468C9513A3AB00DAB17F"
"19/09/2014, 11:16:14:364";"Trace";"Set default parameter: file_type_id; with value: LFF";"";"Technical";"228CF7CAEC9347699C47C090611CF6A7";"D174D6D502844471B7E8A3AB00DAB184"
"19/09/2014, 11:16:14:378";"Trace";"Set default parameter: container_type_id; with value: FILE";"";"Technical";"228CF7CAEC9347699C47C090611CF6A7";"B273DBD8BFCB40E7B80BA3AB00DAB189"
"19/09/2014, 11:16:14:390";"Trace";"Set default parameter: transmission_mode; with value: 1";"";"Technical";"228CF7CAEC9347699C47C090611CF6A7";"877F716027DF4CC09BC5A3AB00DAB18D"
"19/09/2014, 11:16:14:425";"Trace";"Set parameter: cfnc_date; with value: ";"";"Technical";"228CF7CAEC9347699C47C090611CF6A7";"E29441FAD55D4CDD975BA3AB00DAB197"
"19/09/2014, 11:16:14:453";"Trace";"Set parameter: cfnc_time; with value: ";"";"Technical";"228CF7CAEC9347699C47C090611CF6A7";"5FBCBED3046946439218A3AB00DAB1A0"
"19/09/2014, 11:16:14:475";"Trace";"Set parameter: cfnc_country; with value: ";"";"Technical";"228CF7CAEC9347699C47C090611CF6A7";"DE62CD419B5249659B70A3AB00DAB1A5"
"19/09/2014, 11:16:14:493";"Trace";"Set parameter: cfnc_ftype; with value: ";"";"Technical";"228CF7CAEC9347699C47C090611CF6A7";"472627FB1CA84CF7ABE6A3AB00DAB1A9"
"19/09/2014, 11:16:14:514";"Trace";"Set parameter: cfnc_extension; with value: ";"";"Technical";"228CF7CAEC9347699C47C090611CF6A7";"AB612C5CF1F24F538E0CA3AB00DAB1AE"
"19/09/2014, 11:16:14:529";"Trace";"Set parameter: cfnc_cuid; with value: ";"";"Technical";"228CF7CAEC9347699C47C090611CF6A7";"C60E99A8B4614D1FBE3AA3AB00DAB1B3"
